type,procedure_code
occasionally_op,F115
occasionally_op,F182
occasionally_op,F202
occasionally_op,F232
occasionally_op,F241
occasionally_op,F268
occasionally_op,F321
occasionally_op,F384
occasionally_op,F422
occasionally_op,F485
occasionally_op,F562
occasionally_op,F581
occasionally_op,G153
occasionally_op,G215
occasionally_op,G336
occasionally_op,G345
occasionally_op,G445
occasionally_op,G601
occasionally_op,G608
occasionally_op,G674
occasionally_op,G758
occasionally_op,H012
occasionally_op,H243
occasionally_op,H258
occasionally_op,H353
occasionally_op,H412
occasionally_op,H418
occasionally_op,H556
occasionally_op,J101
occasionally_op,J124
occasionally_op,J141
occasionally_op,J439
occasionally_op,J449
occasionally_op,J459
occasionally_op,J486
occasionally_op,J501
occasionally_op,J505
occasionally_op,K596
occasionally_op,K601
occasionally_op,L265
occasionally_op,L351
occasionally_op,L394
occasionally_op,L543
occasionally_op,L665
occasionally_op,L711
occasionally_op,L713
occasionally_op,L721
occasionally_op,L748
occasionally_op,L754
occasionally_op,L912
occasionally_op,L918
occasionally_op,L944
occasionally_op,L946
occasionally_op,L951
occasionally_op,L978
occasionally_op,M138
occasionally_op,M164
occasionally_op,M165
occasionally_op,M198
occasionally_op,M258
occasionally_op,M275
occasionally_op,M292
occasionally_op,M301
occasionally_op,M309
occasionally_op,M359
occasionally_op,M382
occasionally_op,M423
occasionally_op,M443
occasionally_op,M452
occasionally_op,M471
occasionally_op,M493
occasionally_op,M703
occasionally_op,M705
occasionally_op,M711
occasionally_op,M791
occasionally_op,N135
occasionally_op,N242
occasionally_op,N328
occasionally_op,N358
occasionally_op,O019
occasionally_op,P034
occasionally_op,P058
occasionally_op,P063
occasionally_op,P072
occasionally_op,P092
occasionally_op,P202
occasionally_op,P294
occasionally_op,Q018
occasionally_op,Q135
occasionally_op,Q137
occasionally_op,Q208
occasionally_op,Q511
occasionally_op,Q544
occasionally_op,S052
occasionally_op,S055
occasionally_op,S158
occasionally_op,S273
occasionally_op,S422
occasionally_op,S423
occasionally_op,S424
occasionally_op,S441
occasionally_op,S455
occasionally_op,S472
occasionally_op,S476
occasionally_op,S604
occasionally_op,S622
occasionally_op,S627
occasionally_op,S628
occasionally_op,S689
occasionally_op,T013
occasionally_op,T122
occasionally_op,T128
occasionally_op,T315
occasionally_op,T318
occasionally_op,T468
occasionally_op,T549
